axis 0 index,axis 1 index,element no.
0,0,-1
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,-1
0,6,40
0,7,40
0,8,40
0,9,-1
0,10,-1
1,0,63
1,1,64
1,2,55
1,3,56
1,4,47
1,5,48
1,6,37
1,7,38
1,8,39
1,9,-1
1,10,-1
2,0,61
2,1,62
2,2,53
2,3,54
2,4,45
2,5,46
2,6,35
2,7,36
2,8,39
2,9,28
2,10,28
3,0,59
3,1,60
3,2,51
3,3,52
3,4,43
3,5,44
3,6,32
3,7,33
3,8,34
3,9,26
3,10,27
4,0,57
4,1,58
4,2,49
4,3,50
4,4,41
4,5,42
4,6,29
4,7,30
4,8,31
4,9,24
4,10,25
5,0,15
5,1,16
5,2,16
5,3,17
5,4,17
5,5,18
5,6,18
5,7,19
5,8,19
5,9,22
5,10,23
6,0,14
6,1,10
6,2,10
6,3,11
6,4,11
6,5,12
6,6,12
6,7,13
6,8,13
6,9,20
6,10,21
7,0,9
7,1,5
7,2,5
7,3,6
7,4,6
7,5,7
7,6,7
7,7,8
7,8,8
7,9,-1
7,10,-1
8,0,0
8,1,1
8,2,1
8,3,2
8,4,2
8,5,3
8,6,3
8,7,4
8,8,4
8,9,-1
8,10,-1
