axis 0 index,axis 1 index,element no.
0,0,-1
0,1,-1
0,2,105
0,3,105
0,4,105
0,5,-1
0,6,-1
0,7,-1
0,8,-1
0,9,-1
0,10,-1
1,0,-1
1,1,-1
1,2,102
1,3,103
1,4,104
1,5,112
1,6,113
1,7,120
1,8,121
1,9,128
1,10,129
2,0,93
2,1,93
2,2,102
2,3,100
2,4,101
2,5,110
2,6,111
2,7,118
2,8,119
2,9,126
2,10,127
3,0,91
3,1,92
3,2,97
3,3,98
3,4,99
3,5,108
3,6,109
3,7,116
3,8,117
3,9,124
3,10,125
4,0,89
4,1,90
4,2,94
4,3,95
4,4,96
4,5,106
4,6,107
4,7,114
4,8,115
4,9,122
4,10,123
5,0,87
5,1,88
5,2,80
5,3,80
5,4,81
5,5,81
5,6,82
5,7,83
5,8,83
5,9,83
5,10,84
6,0,85
6,1,86
6,2,74
6,3,74
6,4,75
6,5,75
6,6,76
6,7,76
6,8,77
6,9,77
6,10,79
7,0,-1
7,1,-1
7,2,70
7,3,70
7,4,71
7,5,71
7,6,72
7,7,72
7,8,73
7,9,73
7,10,78
8,0,-1
8,1,-1
8,2,65
8,3,65
8,4,66
8,5,66
8,6,67
8,7,67
8,8,68
8,9,68
8,10,69
